hour,day,month,is_weekend,is_rush_hour,is_holiday,temp_celsius,rain_1h,snow_1h,clouds_all,weather_code,traffic_volume,congestion_level,congestion_code
9,1,10,0,1,1,15.129999999999995,0.0,0.0,40,1,5545,High,2
10,1,10,0,0,1,16.210000000000036,0.0,0.0,75,1,4516,High,2
11,1,10,0,0,1,16.430000000000007,0.0,0.0,90,1,4767,High,2
12,1,10,0,0,1,16.980000000000018,0.0,0.0,90,1,5026,High,2
13,1,10,0,0,1,17.99000000000001,0.0,0.0,75,1,4918,High,2
14,1,10,0,0,1,18.57000000000005,0.0,0.0,1,0,5181,High,2
15,1,10,0,0,1,20.02000000000004,0.0,0.0,1,0,5584,High,2
16,1,10,0,1,1,20.710000000000036,0.0,0.0,1,0,6015,High,2
17,1,10,0,1,1,20.99000000000001,0.0,0.0,20,1,5791,High,2
18,1,10,0,1,1,19.950000000000045,0.0,0.0,20,1,4770,High,2
19,1,10,0,0,1,17.82000000000005,0.0,0.0,20,1,3539,Medium,1
20,1,10,0,0,1,16.230000000000018,0.0,0.0,1,0,2784,Medium,1
21,1,10,0,0,1,15.460000000000036,0.0,0.0,1,0,2361,Medium,1
22,1,10,0,0,1,14.010000000000048,0.0,0.0,1,0,1529,Low,0
23,1,10,0,0,1,12.300000000000011,0.0,0.0,1,0,963,Low,0
0,2,10,0,0,1,11.480000000000018,0.0,0.0,1,0,506,Low,0
1,2,10,0,0,1,10.32000000000005,0.0,0.0,1,0,321,Low,0
2,2,10,0,0,1,8.03000000000003,0.0,0.0,1,0,273,Low,0
3,2,10,0,0,1,7.939999999999998,0.0,0.0,1,0,367,Low,0
4,2,10,0,0,1,6.3799999999999955,0.0,0.0,1,0,814,Low,0
5,2,10,0,0,1,5.470000000000027,0.0,0.0,1,0,2718,Medium,1
6,2,10,0,0,1,5.080000000000041,0.0,0.0,1,0,5673,High,2
8,2,10,0,1,1,4.970000000000027,0.0,0.0,1,0,6511,High,2
9,2,10,0,1,1,9.330000000000041,0.0,0.0,1,0,5471,High,2
12,2,10,0,0,1,18.82000000000005,0.0,0.0,1,0,5097,High,2
13,2,10,0,0,1,20.08000000000004,0.0,0.0,1,0,4887,High,2
14,2,10,0,0,1,21.160000000000025,0.0,0.0,1,0,5337,High,2
15,2,10,0,0,1,22.02000000000004,0.0,0.0,1,0,5692,High,2
16,2,10,0,1,1,21.980000000000018,0.0,0.0,1,0,6137,High,2
18,2,10,0,1,1,20.510000000000048,0.0,0.0,20,1,4623,High,2
19,2,10,0,0,1,17.5,0.0,0.0,20,1,3591,Medium,1
20,2,10,0,0,1,15.04000000000002,0.0,0.0,20,1,2898,Medium,1
21,2,10,0,0,1,13.950000000000045,0.0,0.0,1,0,2637,Medium,1
22,2,10,0,0,1,13.100000000000023,0.0,0.0,1,0,1777,Low,0
23,2,10,0,0,1,12.110000000000014,0.0,0.0,1,0,1015,Low,0
0,3,10,0,0,1,11.400000000000034,0.0,0.0,1,0,598,Low,0
1,3,10,0,0,1,10.32000000000005,0.0,0.0,1,0,369,Low,0
2,3,10,0,0,1,10.020000000000039,0.0,0.0,1,0,312,Low,0
3,3,10,0,0,1,8.890000000000043,0.0,0.0,1,0,367,Low,0
4,3,10,0,0,1,8.54000000000002,0.0,0.0,1,0,835,Low,0
5,3,10,0,0,1,8.170000000000016,0.0,0.0,1,0,2726,Medium,1
6,3,10,0,0,1,7.590000000000032,0.0,0.0,1,0,5689,High,2
7,3,10,0,1,1,7.420000000000016,0.0,0.0,1,0,6990,High,2
8,3,10,0,1,1,8.710000000000036,0.0,0.0,1,0,5985,High,2
9,3,10,0,1,1,11.830000000000041,0.0,0.0,1,0,5309,High,2
10,3,10,0,0,1,16.03000000000003,0.0,0.0,1,0,4603,High,2
11,3,10,0,0,1,18.400000000000034,0.0,0.0,1,0,4884,High,2
12,3,10,0,0,1,21.82000000000005,0.0,0.0,1,0,5104,High,2
13,3,10,0,0,1,23.230000000000018,0.0,0.0,1,0,5178,High,2
14,3,10,0,0,1,24.170000000000016,0.0,0.0,1,0,5501,High,2
15,3,10,0,0,1,25.02000000000004,0.0,0.0,1,0,5713,High,2
16,3,10,0,1,1,24.910000000000025,0.0,0.0,20,1,6292,High,2
17,3,10,0,1,1,24.52000000000004,0.0,0.0,20,1,6057,High,2
18,3,10,0,1,1,23.210000000000036,0.0,0.0,40,1,4907,High,2
19,3,10,0,0,1,20.700000000000045,0.0,0.0,40,1,3503,Medium,1
20,3,10,0,0,1,19.28000000000003,0.0,0.0,40,1,3037,Medium,1
21,3,10,0,0,1,18.620000000000005,0.0,0.0,75,1,2822,Medium,1
22,3,10,0,0,1,18.210000000000036,0.0,0.0,75,1,1992,Low,0
23,3,10,0,0,1,17.970000000000027,0.0,0.0,75,1,1166,Low,0
